lon,lat,alt,hdg,ias,roll,pitch,slip
86.7291032782,27.6880423617,9250,228,0,0.275199,1.554355,0.000000
86.7291032675,27.6880423559,9250,228,1,0.269605,1.591294,41.575024
86.7291032619,27.6880423471,9250,228,1,0.252921,1.544861,40.792114
86.7291032550,27.6880423509,9250,228,1,0.285762,1.534736,39.657852
86.7291032539,27.6880423521,9250,228,1,0.293151,1.535089,39.336823
86.7291032532,27.6880423531,9250,228,1,0.298738,1.535970,39.004131
86.7291032529,27.6880423539,9250,228,1,0.302588,1.537418,38.606888
86.7291032530,27.6880423542,9250,228,1,0.303591,1.538853,38.262993
86.7291032534,27.6880423543,9250,228,1,0.302714,1.540349,37.919353
86.7291032540,27.6880423542,9250,228,1,0.300833,1.541583,37.634804
86.7291032547,27.6880423538,9250,228,1,0.297620,1.542999,37.296650
86.7291032562,27.6880423531,9250,228,1,0.290668,1.545288,36.686623
86.7291032572,27.6880423526,9250,228,1,0.286091,1.546647,36.248844
86.7291032576,27.6880423524,9250,228,1,0.284248,1.547226,36.030556
86.7291032578,27.6880423522,9250,228,1,0.283113,1.547615,35.866680
86.7291032582,27.6880423521,9250,228,1,0.281538,1.548291,35.548729
86.7291032583,27.6880423538,9250,228,1,0.287196,1.554142,28.122690
86.7291032582,27.6880423539,9250,228,1,0.288006,1.554088,26.675041
86.7291032581,27.6880423540,9250,228,1,0.288325,1.554096,26.322037
86.7291032580,27.6880423541,9250,228,1,0.288867,1.554124,25.678957
86.7291032580,27.6880423541,9250,228,1,0.289071,1.554142,25.390104
86.7291032580,27.6880423542,9250,228,1,0.289376,1.554185,24.807219
86.7291032580,27.6880423542,9250,228,1,0.289472,1.554211,24.513285
86.7291032580,27.6880423542,9250,228,1,0.289552,1.554272,23.920757
86.7291032580,27.6880423542,9250,228,1,0.289542,1.554304,23.622246
86.7291032580,27.6880423542,9250,228,1,0.289464,1.554363,23.096416
86.7291032580,27.6880423542,9250,228,1,0.289333,1.554424,22.566250
86.7291032580,27.6880423542,9250,228,1,0.289205,1.554476,22.108450
86.7291032581,27.6880423542,9250,228,1,0.289081,1.554527,21.647451
86.7291032581,27.6880423542,9250,228,1,0.288992,1.554568,21.260807
86.7291032581,27.6880423542,9250,228,1,0.288911,1.554616,20.793829
86.7291032581,27.6880423542,9250,228,1,0.288883,1.554639,20.559078
86.7291032581,27.6880423542,9250,228,1,0.288851,1.554706,19.849749
86.7291032581,27.6880423542,9250,228,1,0.288876,1.554746,19.372692
86.7291032581,27.6880423542,9250,228,1,0.288935,1.554783,18.892189
86.7291032581,27.6880423542,9250,228,1,0.288976,1.554801,18.650650
86.7291032581,27.6880423542,9250,228,1,0.289115,1.554848,18.002382
86.7291032581,27.6880423542,9250,228,1,0.289259,1.554888,17.430168
86.7291032581,27.6880423543,9250,228,1,0.289412,1.554927,16.853374
86.7291032581,27.6880423543,9250,228,1,0.289497,1.554949,16.521769
86.7291032581,27.6880423543,9250,228,1,0.289578,1.554970,16.188715
86.7291032581,27.6880423543,9250,228,1,0.289708,1.555006,15.602531
86.7291032581,27.6880423543,9250,228,1,0.289774,1.555026,15.265689
86.7291032580,27.6880423544,9250,228,1,0.289896,1.555070,14.502996
86.7291032580,27.6880423544,9250,228,1,0.289929,1.555084,14.247311
86.7291032580,27.6880423544,9250,228,1,0.290010,1.555124,13.476172
86.7291032580,27.6880423544,9250,228,1,0.290051,1.555148,12.958585
86.7291032580,27.6880423544,9250,228,1,0.290089,1.555173,12.351461
86.7291032580,27.6880423544,9250,228,1,0.290109,1.555186,12.002987
86.7291032580,27.6880423544,9250,228,1,0.290150,1.555210,11.302708
86.7291032580,27.6880423544,9250,228,1,0.290184,1.555226,10.774641
