lon,lat,alt,hdg,ias,roll,pitch,slip
86.7291032849,27.6880423683,9250,228,0,0.275200,1.548436,0.000000
86.7291032838,27.6880423702,9250,228,1,0.284918,1.551151,41.958759
86.7291032816,27.6880423686,9250,228,1,0.285601,1.539374,46.829182
86.7291032804,27.6880423673,9250,228,1,0.284509,1.531470,50.920795
86.7291032804,27.6880423673,9250,228,1,0.284438,1.531474,51.231071
86.7291032804,27.6880423673,9250,228,1,0.284387,1.531463,51.354038
86.7291032804,27.6880423673,9250,228,1,0.284260,1.531409,51.597839
86.7291032804,27.6880423673,9250,228,1,0.284147,1.531332,51.778915
86.7291032804,27.6880423672,9250,228,1,0.284025,1.531218,51.958466
86.7291032804,27.6880423672,9250,228,1,0.283903,1.531066,52.136589
86.7291032804,27.6880423671,9250,228,1,0.283783,1.530877,52.313240
86.7291032804,27.6880423671,9250,228,1,0.283671,1.530656,52.488514
86.7291032804,27.6880423670,9250,228,1,0.283569,1.530406,52.662380
86.7291032803,27.6880423670,9250,228,1,0.283478,1.530132,52.834839
86.7291032803,27.6880423669,9250,228,1,0.283397,1.529837,53.005882
86.7291032802,27.6880423669,9250,228,1,0.283326,1.529527,53.175526
86.7291032802,27.6880423668,9250,228,1,0.283261,1.529205,53.343765
86.7291032801,27.6880423668,9250,228,1,0.283200,1.528874,53.510609
86.7291032801,27.6880423667,9250,228,1,0.283139,1.528537,53.676060
86.7291032800,27.6880423666,9250,228,1,0.283077,1.528195,53.840137
86.7291032800,27.6880423666,9250,228,1,0.283012,1.527850,54.002857
86.7291032799,27.6880423665,9250,228,1,0.282942,1.527505,54.164223
86.7291032799,27.6880423665,9250,228,2,0.282868,1.527160,54.129768
86.7291032798,27.6880423664,9250,228,2,0.282790,1.526824,54.086166
86.7291032798,27.6880423663,9250,228,2,0.282713,1.526505,54.043026
86.7291032798,27.6880423663,9250,228,2,0.282637,1.526210,54.000305
86.7291032797,27.6880423662,9250,228,2,0.282565,1.525940,53.957970
86.7291032797,27.6880423662,9250,228,2,0.282498,1.525699,53.915985
86.7291032797,27.6880423662,9250,228,2,0.282436,1.525485,53.874348
86.7291032796,27.6880423661,9250,228,2,0.282379,1.525298,53.833023
86.7291032796,27.6880423661,9250,228,2,0.282327,1.525136,53.791988
86.7291032796,27.6880423661,9250,228,2,0.282278,1.524994,53.751232
86.7291032796,27.6880423660,9250,228,2,0.282231,1.524872,53.710754
86.7291032796,27.6880423660,9250,228,2,0.282185,1.524767,53.670547
86.7291032796,27.6880423660,9250,228,2,0.282138,1.524675,53.630611
86.7291032796,27.6880423660,9250,228,2,0.282088,1.524595,53.590942
86.7291032796,27.6880423660,9250,228,2,0.282036,1.524524,53.551544
86.7291032796,27.6880423659,9250,228,2,0.281982,1.524460,53.512421
86.7291032796,27.6880423659,9250,228,2,0.281925,1.524403,53.473564
86.7291032796,27.6880423659,9250,228,2,0.281885,1.524368,53.447815
86.7291032796,27.6880423659,9250,228,2,0.281804,1.524301,53.396664
86.7291032796,27.6880423659,9250,228,2,0.281743,1.524253,53.358616
86.7291032796,27.6880423659,9250,228,2,0.281681,1.524208,53.320827
86.7291032796,27.6880423658,9250,228,2,0.281618,1.524165,53.283310
86.7291032796,27.6880423658,9250,228,2,0.281555,1.524124,53.246048
86.7291032796,27.6880423658,9250,228,2,0.281493,1.524083,53.209042
86.7291032796,27.6880423658,9250,228,2,0.281432,1.524043,53.172291
86.7291032796,27.6880423658,9250,228,2,0.281373,1.524003,53.135792
86.7291032796,27.6880423658,9250,228,2,0.281315,1.523963,53.099529
86.7291032796,27.6880423657,9250,228,2,0.281258,1.523924,53.063507
86.7291032796,27.6880423657,9250,228,2,0.281201,1.523885,53.027718
86.7291032796,27.6880423657,9250,228,2,0.281144,1.523847,52.992165
86.7291032796,27.6880423657,9250,228,2,0.281085,1.523809,52.956844
86.7291032796,27.6880423657,9250,228,2,0.281026,1.523772,52.921753
