lon,lat,alt,hdg,ias,roll,pitch,slip
148.6408965505,-31.6973190415,945,273,0,0.042263,2.861924,0.000000
148.6408965512,-31.6973190386,945,273,2,0.056038,2.863710,-3.402622
148.6408965513,-31.6973190382,945,273,3,0.057551,2.864043,1.679414
148.6408965515,-31.6973190385,945,273,3,0.056501,2.865021,5.873213
148.6408965515,-31.6973190385,945,273,3,0.056434,2.865048,6.187716
148.6408965515,-31.6973190385,945,273,3,0.056355,2.865058,6.374228
148.6408965515,-31.6973190385,945,273,3,0.056253,2.865063,6.559093
148.6408965515,-31.6973190386,945,273,3,0.056135,2.865065,6.742354
148.6408965515,-31.6973190386,945,273,3,0.056006,2.865066,6.924034
148.6408965515,-31.6973190386,945,273,3,0.055874,2.865067,7.104143
148.6408965515,-31.6973190386,945,273,3,0.055743,2.865070,7.282672
148.6408965515,-31.6973190387,945,273,3,0.055618,2.865076,7.459628
148.6408965515,-31.6973190387,945,273,3,0.055501,2.865085,7.635003
148.6408965515,-31.6973190387,945,273,3,0.055394,2.865097,7.808810
148.6408965515,-31.6973190387,945,273,3,0.055297,2.865113,7.981050
148.6408965515,-31.6973190388,945,273,3,0.055209,2.865132,8.151710
148.6408965515,-31.6973190388,945,273,3,0.055128,2.865155,8.320814
148.6408965515,-31.6973190388,945,273,3,0.055052,2.865181,8.488364
148.6408965515,-31.6973190388,945,273,3,0.054976,2.865211,8.654383
148.6408965515,-31.6973190388,945,273,3,0.054899,2.865243,8.818895
148.6408965515,-31.6973190388,945,273,3,0.054818,2.865278,8.981916
148.6408965516,-31.6973190389,945,273,3,0.054732,2.865315,9.143494
148.6408965516,-31.6973190389,945,273,3,0.054641,2.865353,9.303648
148.6408965516,-31.6973190389,945,273,3,0.054545,2.865392,9.462396
148.6408965516,-31.6973190389,945,273,3,0.054445,2.865432,9.619747
148.6408965516,-31.6973190389,945,273,3,0.054340,2.865472,9.775735
148.6408965516,-31.6973190390,945,273,3,0.054232,2.865513,9.930379
148.6408965516,-31.6973190390,945,273,3,0.054123,2.865553,10.083678
148.6408965516,-31.6973190390,945,273,3,0.054012,2.865592,10.235660
148.6408965516,-31.6973190390,945,273,4,0.053901,2.865631,10.386338
148.6408965516,-31.6973190391,945,273,4,0.053791,2.865670,10.535737
148.6408965516,-31.6973190391,945,273,4,0.053683,2.865708,10.683842
148.6408965516,-31.6973190391,945,273,4,0.053577,2.865746,10.830668
148.6408965517,-31.6973190391,945,273,4,0.053472,2.865783,10.976238
148.6408965517,-31.6973190392,945,273,4,0.053368,2.865821,11.120564
148.6408965517,-31.6973190392,945,273,4,0.053265,2.865858,11.263643
148.6408965517,-31.6973190392,945,273,4,0.053161,2.865894,11.405501
148.6408965517,-31.6973190392,945,273,4,0.053056,2.865929,11.546149
148.6408965517,-31.6973190392,945,273,4,0.052986,2.865953,11.639255
148.6408965517,-31.6973190393,945,273,4,0.052841,2.865999,11.823870
148.6408965517,-31.6973190393,945,273,4,0.052730,2.866034,11.960985
148.6408965517,-31.6973190393,945,273,4,0.052616,2.866068,12.096955
148.6408965517,-31.6973190393,945,273,4,0.052501,2.866102,12.231795
148.6408965517,-31.6973190394,945,273,4,0.052384,2.866136,12.365513
148.6408965517,-31.6973190394,945,273,4,0.052266,2.866170,12.498119
148.6408965517,-31.6973190394,945,273,4,0.052147,2.866204,12.629632
148.6408965517,-31.6973190394,945,273,4,0.052027,2.866237,12.760067
148.6408965517,-31.6973190395,945,273,4,0.051906,2.866270,12.889424
148.6408965518,-31.6973190395,945,273,4,0.051785,2.866303,13.017725
148.6408965518,-31.6973190395,945,273,4,0.051664,2.866335,13.144974
148.6408965518,-31.6973190395,945,273,4,0.051543,2.866367,13.271199
