lon,lat,alt,hdg,ias,roll,pitch,slip
1.6519343471,41.5861554761,1103,159,53,-0.046945,2.571738,0.577958
1.6519397975,41.5861441515,1103,159,53,-0.043877,2.577070,0.617602
1.6519452838,41.5861327988,1103,158,53,-0.038141,2.585010,0.652502
1.6519508066,41.5861214182,1103,158,53,-0.030965,2.594554,0.682851
1.6519563662,41.5861100100,1102,158,53,-0.023509,2.604134,0.708839
1.6519619628,41.5860985741,1102,158,53,-0.016680,2.615662,0.730658
1.6519675968,41.5860871108,1102,158,54,-0.011058,2.628672,0.748416
1.6519732680,41.5860756201,1102,158,54,-0.007320,2.642758,0.762220
1.6519789766,41.5860641021,1102,158,54,-0.005208,2.658996,0.771363
1.6519847224,41.5860525568,1102,158,54,-0.005152,2.685341,0.775471
1.6519905048,41.5860409840,1102,158,54,-0.007618,2.723422,0.772796
1.6519963239,41.5860293839,1102,158,54,-0.011473,2.771201,0.759251
1.6520021792,41.5860177564,1102,158,54,-0.015278,2.824151,0.739966
1.6520080704,41.5860061014,1102,158,55,-0.019097,2.879199,0.715565
1.6520139964,41.5859944186,1102,158,55,-0.024202,2.932210,0.683124
1.6520199567,41.5859827080,1102,158,55,-0.030448,2.995994,0.642391
1.6520259505,41.5859709695,1102,158,55,-0.037505,3.059752,0.592210
1.6520319766,41.5859592028,1102,158,55,-0.045853,3.110144,0.532947
1.6520380334,41.5859474074,1102,158,55,-0.056054,3.142086,0.463672
1.6520441194,41.5859355827,1102,158,55,-0.068426,3.160912,0.382549
1.6520502328,41.5859237284,1102,158,56,-0.081901,3.171911,0.290928
1.6520563724,41.5859118438,1102,158,56,-0.095367,3.179574,0.190747
1.6520625364,41.5858999285,1102,158,56,-0.108090,3.185966,0.085069
1.6520687233,41.5858879818,1102,158,56,-0.120207,3.192338,-0.024797
1.6520749312,41.5858760033,1102,158,56,-0.131900,3.199142,-0.137795
1.6520811586,41.5858639925,1101,158,56,-0.143372,3.206396,-0.252918
1.6520874036,41.5858519489,1101,158,57,-0.154776,3.213863,-0.369092
1.6520936645,41.5858398722,1101,158,57,-0.166228,3.221247,-0.485689
1.6520999396,41.5858277618,1101,158,57,-0.177634,3.228307,-0.601670
1.6521062272,41.5858156174,1101,159,57,-0.188428,3.234907,-0.715388
1.6521125261,41.5858034386,1101,159,57,-0.196997,3.236970,-0.818681
1.6521188347,41.5857912252,1101,159,57,-0.204269,3.233356,-0.910081
1.6521251519,41.5857789767,1101,159,57,-0.210933,3.227312,-0.989661
1.6521314767,41.5857666930,1101,159,58,-0.218196,3.223066,-1.057021
1.6521378085,41.5857543740,1101,159,58,-0.230027,3.220507,-1.110138
1.6521441465,41.5857420195,1101,159,58,-0.247205,3.224972,-1.151028
1.6521504903,41.5857296293,1101,159,58,-0.264562,3.234668,-1.179479
1.6521568397,41.5857172035,1101,159,58,-0.278234,3.241598,-1.195325
1.6521631944,41.5857047420,1101,159,58,-0.287995,3.246484,-1.199999
1.6521695546,41.5856922448,1101,159,58,-0.293818,3.249657,-1.194433
1.6521759202,41.5856797121,1101,159,59,-0.296344,3.253629,-1.179898
1.6521822916,41.5856671439,1101,159,59,-0.295900,3.270498,-1.155585
1.6521886693,41.5856545404,1101,159,59,-0.293575,3.298513,-1.122464
1.6521950537,41.5856419017,1101,159,59,-0.290058,3.329728,-1.081233
1.6522014454,41.5856292280,1101,159,59,-0.285809,3.359112,-1.032625
1.6522078453,41.5856165194,1100,159,59,-0.280949,3.384202,-0.976691
1.6522142541,41.5856037763,1100,159,59,-0.275777,3.405248,-0.914393
1.6522206727,41.5855909989,1100,159,60,-0.270593,3.423318,-0.847729
1.6522271021,41.5855781873,1100,159,60,-0.265549,3.439398,-0.778216
1.6522335431,41.5855653419,1100,159,60,-0.260547,3.454257,-0.706356
1.6522399966,41.5855524628,1100,159,60,-0.255979,3.470074,-0.633928
1.6522464634,41.5855395503,1100,159,60,-0.251913,3.488684,-0.561670
1.6522529442,41.5855266047,1100,159,60,-0.248363,3.504797,-0.490363
1.6522594400,41.5855136262,1100,159,60,-0.245080,3.519675,-0.422095
1.6522659516,41.5855006150,1100,159,61,-0.242118,3.534503,-0.359789
1.6522724797,41.5854875713,1100,159,61,-0.239148,3.541063,-0.303630
1.6522790248,41.5854744952,1100,159,61,-0.236099,3.541433,-0.253745
1.6522855873,41.5854613868,1100,159,61,-0.233063,3.537482,-0.210234
1.6522921677,41.5854482461,1100,159,61,-0.230169,3.530551,-0.173161
1.6522987664,41.5854350734,1100,159,61,-0.227544,3.521704,-0.142913
1.6523053836,41.5854218685,1100,159,61,-0.225435,3.511909,-0.120547
1.6523120194,41.5854086317,1100,159,62,-0.223424,3.502084,-0.104341
1.6523186741,41.5853953628,1100,159,62,-0.221709,3.493086,-0.094967
1.6523253476,41.5853820620,1100,159,62,-0.220132,3.485709,-0.091292
1.6523320400,41.5853687292,1099,159,62,-0.218724,3.480634,-0.092950
1.6523387512,41.5853553644,1099,159,62,-0.217527,3.478419,-0.099622
1.6523454811,41.5853419676,1099,159,62,-0.216819,3.479502,-0.112748
1.6523522295,41.5853285388,1099,159,63,-0.217115,3.484486,-0.131144
1.6523589962,41.5853150778,1099,159,63,-0.225448,3.498166,-0.154534
1.6523657810,41.5853015848,1099,159,63,-0.242518,3.526418,-0.181753
1.6523725836,41.5852880596,1099,159,63,-0.261073,3.567597,-0.211824
1.6523794039,41.5852745022,1099,159,63,-0.275256,3.618964,-0.244199
1.6523862415,41.5852609126,1099,159,63,-0.284525,3.677695,-0.279318
1.6523930961,41.5852472909,1099,159,63,-0.289063,3.741816,-0.315874
1.6523999674,41.5852336370,1099,159,64,-0.289824,3.809917,-0.353489
1.6524068551,41.5852199510,1099,159,64,-0.287945,3.880887,-0.391973
1.6524137589,41.5852062329,1099,159,64,-0.284448,3.953713,-0.431152
1.6524206785,41.5851924828,1099,159,64,-0.280138,4.027389,-0.470887
1.6524276138,41.5851787008,1099,159,64,-0.277155,4.100588,-0.512008
1.6524345645,41.5851648869,1099,159,64,-0.279566,4.171841,-0.553617
1.6524415305,41.5851510412,1099,159,64,-0.291392,4.240161,-0.595714
1.6524485117,41.5851371639,1099,159,64,-0.316080,4.304953,-0.638396
1.6524555080,41.5851232551,1098,159,65,-0.355205,4.367958,-0.681448
1.6524625195,41.5851093150,1098,159,65,-0.406249,4.435438,-0.724939
1.6524695461,41.5850953439,1098,159,65,-0.466668,4.519017,-0.769780
1.6524765878,41.5850813420,1098,159,65,-0.533790,4.621227,-0.813828
1.6524836447,41.5850673097,1098,159,65,-0.605882,4.744310,-0.856645
1.6524907169,41.5850532475,1098,159,65,-0.681604,4.889054,-0.897818
1.6524978044,41.5850391556,1098,159,65,-0.759921,5.039533,-0.937049
