Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Coordinate_System,Approval_Status,Approval_Date,Origin,
"Abalos Colles","Mars",235.83,76.83,288.35,"Planetocentric  +East  0 - 360","Approved","2003","Named for classical albedo feature at 72N, 70W.",
"Abalos Mensa","Mars",129.18,81.17,284.4,"Planetocentric  +East  0 - 360","Approved","2006","Classical albedo feature name.",
"Abalos Scopuli","Mars",109.16,80.72,283.44,"Planetocentric  +East  0 - 360","Approved","2006","Classical albedo feature name.",
"Abalos Undae","Mars",442.74,78.52,272.5,"Planetocentric  +East  0 - 360","Approved","1988","Classical albedo feature at 72N, 70W.",
"Aban","Mars",4.28,15.91,111.1,"Planetocentric  +East  0 - 360","Approved","1988","Town in Russia.",
"Abus Vallis","Mars",60.99,-5.49,212.8,"Planetocentric  +East  0 - 360","Approved","1985","Classical name for Humber River in England.",
"Achar","Mars",5.36,45.43,123.16,"Planetocentric  +East  0 - 360","Approved","1979","Town in Uruguay.",
"Acheron Catena","Mars",421.77,37.47,259.2,"Planetocentric  +East  0 - 360","Approved","1979","Named for classical albedo feature at 35N, 140W.",
"Acheron Fossae","Mars",703.11,38.27,224.98,"Planetocentric  +East  0 - 360","Approved","1979","From classical albedo feature at 35N, 140W.",
"Acidalia Colles","Mars",356.3,50.34,336.91,"Planetocentric  +East  0 - 360","Approved","2000","From classical albedo feature name.",
"Acidalia Mensa","Mars",226.86,46.69,334.66,"Planetocentric  +East  0 - 360","Approved","2000","From classical albedo feature name.",
"Acidalia Planitia","Mars",3362.97,49.76,339.26,"Planetocentric  +East  0 - 360","Approved","1973","From classical albedo feature at 44N, 21W.",
"Ada","Mars",2.09,-3.06,356.78,"Planetocentric  +East  0 - 360","Approved","Sep 14, 2006","Town in Oklahoma, USA.",
"Adamas Labyrinthus","Mars",853,35.7,105.12,"Planetocentric  +East  0 - 360","Approved","1982","Classical albedo feature name; ""A River of Diamonds""; today's River Sarbarnarekha in India.",
