Abalos Colles,235.83,76.83,288.35,"Named for classical albedo feature at 72N
Abalos Mensa,129.18,81.17,284.4,"Classical albedo feature name."
Abalos Scopuli,109.16,80.72,283.44,"Classical albedo feature name."
Abalos Undae,442.74,78.52,272.5,"Classical albedo feature at 72N
Aban,4.28,15.91,111.1,"Town in Russia."
Abus Vallis,60.99,-5.49,212.8,"Classical name for Humber River in England."
Achar,5.36,45.43,123.16,"Town in Uruguay."
Acheron Catena,421.77,37.47,259.2,"Named for classical albedo feature at 35N
Acheron Fossae,703.11,38.27,224.98,"From classical albedo feature at 35N
Acidalia Colles,356.3,50.34,336.91,"From classical albedo feature name."
Acidalia Mensa,226.86,46.69,334.66,"From classical albedo feature name."
Acidalia Planitia,3362.97,49.76,339.26,"From classical albedo feature at 44N
Ada,2.09,-3.06,356.78, 2006"
Adamas Labyrinthus,853,35.7,105.12,"Classical albedo feature name; ""A River of Diamonds""; today's River Sarbarnarekha in India."
Adams,90.22,30.91,163.1,"Walter S.; American astronomer (1876-1956)."
Aeolis,0,-4.94,145,"Floating island where winds were kept in a cave."
Aeolis Dorsa,459.17,-5.05,152.63, 2012"
Aeolis Mensae,785.09,-3.25,140.63,"Classical albedo feature name."
Aeolis Mons,88.99,-5.08,137.85, 2012"
Aeolis Palus,111.63,-4.47,137.42, 2012"
Aeolis Planum,852.81,-1.14,144.76,"Classical albedo feature name."
Aeolis Serpens,538.55,-1.38,149.57, 2012"
Aeria,0,9.88,50,"Greek name for Egypt; ""far land of mist""."
Aesacus Dorsum,276.69,36.82,153.15,"From albedo feature at 45N
Aetheria,0,39.67,130,"Upper world; land of living."
Aethiopis,0,9.88,130,"Countries of the Ethiopians on southern edge of the Earth."
Aganippe Fossa,537.16,-8.49,234,"Classical albedo feature name."
Agassiz,108.77,-69.88,271.11,"Jean L.; American naturalist (1807-1873)."
Airy,43.05,-5.14,0.05,"George B.; British astronomer (1801-1892)."
Airy-0,0.79,-5.07,0,"Small crater within crater Airy that defines zero degrees longitude on Mars."
Ajon,8.08,16.49,103.14,"Town in Russia."
Aki,7.87,-35.46,299.76,"Town in Japan."
Aktaj,5.01,20.41,313.51,"Town in Russia."
Alamos,6.44,23.48,322.88, 2006"
Alba Catena,144.86,35.04,245.42,"Classical albedo name."
Alba Fossae,2072.02,49.39,253.18,"Classical albedo name."
Alba Mons,548.02,41.08,249.29, 2007"
Albany,2.15,22.96,310.98,"American colonial town (New York)."
Alba Patera,65.98,39.53,250.82,"Classical albedo name."
Albi,9.07,-41.47,324.99,"Town in France."
Albor Fossae,155,18.09,150.78,"From albedo feature at 20N
Albor Tholus,158.38,18.87,150.47,"Classical albedo feature name."
Alexey Tolstoy,93.04,-47.44,125.34,"Aleksey; Soviet writer (1882-1945)."
Alga,18.72,-24.34,333.32,"Town in Kazakhstan."
Alitus,50,-34.91,321.86,"(Alytus)
Allegheny Vallis,171.08,-9.01,306.1,"River in Pennsylvania
