lon,lat,alt,hdg,ias,roll,pitch,slip
86.7291032826,27.6880423660,9250,228,0,0.275188,1.550446,0.000000
86.7291032726,27.6880423608,9250,228,1,0.269603,1.591478,41.574566
86.7291032649,27.6880423584,9250,228,1,0.282290,1.557686,35.756260
86.7291032644,27.6880423595,9250,228,1,0.287259,1.559700,29.601917
86.7291032644,27.6880423595,9250,228,1,0.287312,1.559649,29.490250
86.7291032643,27.6880423595,9250,228,1,0.287534,1.559622,29.414011
86.7291032643,27.6880423595,9250,228,1,0.287854,1.559601,29.336105
86.7291032642,27.6880423596,9250,228,1,0.288226,1.559584,29.256533
86.7291032642,27.6880423597,9250,228,1,0.288604,1.559571,29.175329
86.7291032641,27.6880423597,9250,228,1,0.288951,1.559559,29.092630
86.7291032641,27.6880423598,9250,228,1,0.289237,1.559548,29.008610
86.7291032640,27.6880423598,9250,228,1,0.289445,1.559536,28.923475
86.7291032640,27.6880423598,9250,228,1,0.289567,1.559522,28.837383
86.7291032640,27.6880423598,9250,228,1,0.289608,1.559507,28.750502
86.7291032640,27.6880423598,9250,228,1,0.289578,1.559488,28.662966
86.7291032640,27.6880423598,9250,228,1,0.289496,1.559465,28.574842
86.7291032640,27.6880423598,9250,228,1,0.289383,1.559439,28.486118
86.7291032640,27.6880423597,9250,228,1,0.289257,1.559411,28.396786
86.7291032640,27.6880423597,9250,228,1,0.289139,1.559381,28.306747
86.7291032641,27.6880423597,9250,228,1,0.289042,1.559351,28.215897
86.7291032641,27.6880423597,9250,228,1,0.288975,1.559320,28.124079
86.7291032641,27.6880423597,9250,228,1,0.288944,1.559289,28.031210
86.7291032640,27.6880423597,9250,228,1,0.288949,1.559257,27.937199
86.7291032640,27.6880423597,9250,228,1,0.288987,1.559226,27.841925
86.7291032640,27.6880423597,9250,228,1,0.289052,1.559194,27.745316
86.7291032640,27.6880423597,9250,228,1,0.289135,1.559163,27.647320
86.7291032640,27.6880423597,9250,228,1,0.289227,1.559132,27.547907
86.7291032640,27.6880423597,9250,228,1,0.289320,1.559103,27.447094
86.7291032639,27.6880423597,9250,228,1,0.289407,1.559074,27.344826
86.7291032639,27.6880423597,9250,228,1,0.289481,1.559046,27.241148
86.7291032639,27.6880423597,9250,228,1,0.289541,1.559017,27.136042
86.7291032639,27.6880423597,9250,228,1,0.289583,1.558988,27.029579
86.7291032639,27.6880423597,9250,228,1,0.289610,1.558959,26.921762
86.7291032639,27.6880423597,9250,228,1,0.289623,1.558928,26.812571
86.7291032639,27.6880423597,9250,228,1,0.289627,1.558898,26.702003
86.7291032639,27.6880423597,9250,228,1,0.289625,1.558867,26.590008
86.7291032639,27.6880423597,9250,228,1,0.289620,1.558835,26.476551
86.7291032639,27.6880423597,9250,228,1,0.289615,1.558803,26.361610
86.7291032639,27.6880423597,9250,228,1,0.289614,1.558771,26.245142
86.7291032639,27.6880423597,9250,228,1,0.289620,1.558740,26.127068
86.7291032638,27.6880423597,9250,228,1,0.289633,1.558708,26.007332
86.7291032638,27.6880423597,9250,228,1,0.289652,1.558677,25.885872
86.7291032638,27.6880423597,9250,228,1,0.289679,1.558644,25.762646
86.7291032638,27.6880423597,9250,228,1,0.289711,1.558612,25.637583
86.7291032638,27.6880423597,9250,228,1,0.289746,1.558578,25.510633
86.7291032638,27.6880423597,9250,228,1,0.289781,1.558544,25.381775
86.7291032638,27.6880423597,9250,228,1,0.289817,1.558509,25.250982
86.7291032638,27.6880423597,9250,228,1,0.289850,1.558474,25.118233
86.7291032638,27.6880423597,9250,228,1,0.289882,1.558439,24.983456
86.7291032637,27.6880423597,9250,228,1,0.289911,1.558404,24.846582
86.7291032637,27.6880423597,9250,228,1,0.289935,1.558368,24.707607
86.7291032637,27.6880423597,9250,228,1,0.289955,1.558332,24.566517
86.7291032637,27.6880423597,9250,228,1,0.289972,1.558295,24.423256
86.7291032637,27.6880423597,9250,228,1,0.289986,1.558258,24.277786
86.7291032637,27.6880423597,9250,228,1,0.289999,1.558221,24.130060
86.7291032637,27.6880423597,9250,228,1,0.290011,1.558184,23.980007
86.7291032637,27.6880423597,9250,228,1,0.290025,1.558147,23.827572
86.7291032637,27.6880423597,9250,228,1,0.290039,1.558111,23.672689
86.7291032637,27.6880423597,9250,228,1,0.290055,1.558074,23.515299
86.7291032637,27.6880423597,9250,228,1,0.290073,1.558038,23.355330
86.7291032636,27.6880423597,9250,228,1,0.290092,1.558002,23.192719
86.7291032636,27.6880423597,9250,228,1,0.290113,1.557966,23.027397
86.7291032636,27.6880423597,9250,228,1,0.290136,1.557930,22.859341
86.7291032636,27.6880423597,9250,228,1,0.290162,1.557894,22.688414
86.7291032636,27.6880423597,9250,228,1,0.290188,1.557859,22.514524
86.7291032636,27.6880423597,9250,228,1,0.290213,1.557824,22.337639
86.7291032636,27.6880423597,9250,228,1,0.290238,1.557789,22.157671
86.7291032636,27.6880423597,9250,228,1,0.290260,1.557754,21.974564
86.7291032636,27.6880423597,9250,228,1,0.290280,1.557719,21.788244
86.7291032636,27.6880423597,9250,228,1,0.290299,1.557684,21.598640
86.7291032635,27.6880423597,9250,228,1,0.290315,1.557649,21.405678
86.7291032635,27.6880423597,9250,228,1,0.290331,1.557613,21.209270
86.7291032635,27.6880423596,9250,228,1,0.290346,1.557578,21.009321
86.7291032635,27.6880423596,9250,228,1,0.290360,1.557543,20.805742
86.7291032635,27.6880423596,9250,228,1,0.290374,1.557507,20.598438
86.7291032635,27.6880423596,9250,228,1,0.290389,1.557472,20.387331
86.7291032635,27.6880423596,9250,228,1,0.290404,1.557437,20.172291
86.7291032635,27.6880423596,9250,228,1,0.290421,1.557401,19.953205
86.7291032635,27.6880423596,9250,228,1,0.290438,1.557366,19.730015
86.7291032635,27.6880423596,9250,228,1,0.290457,1.557332,19.502573
86.7291032635,27.6880423596,9250,228,1,0.290475,1.557304,19.309734
86.7291032634,27.6880423596,9250,228,1,0.290502,1.557264,19.034527
86.7291032634,27.6880423596,9250,228,1,0.290528,1.557232,18.793650
86.7291032634,27.6880423596,9250,228,1,0.290557,1.557199,18.548008
86.7291032634,27.6880423596,9250,228,1,0.290588,1.557167,18.297461
86.7291032634,27.6880423596,9250,228,1,0.290618,1.557135,18.041862
86.7291032634,27.6880423596,9250,228,1,0.290647,1.557103,17.781101
86.7291032634,27.6880423596,9250,228,1,0.290675,1.557071,17.515074
86.7291032634,27.6880423596,9250,228,1,0.290702,1.557039,17.243576
86.7291032634,27.6880423596,9250,228,1,0.290726,1.557009,16.966473
86.7291032634,27.6880423596,9250,228,1,0.290747,1.556978,16.683661
86.7291032634,27.6880423596,9250,228,1,0.290767,1.556947,16.394974
86.7291032633,27.6880423596,9250,228,1,0.290786,1.556918,16.100227
86.7291032633,27.6880423596,9250,228,1,0.290804,1.556888,15.799232
86.7291032633,27.6880423596,9250,228,1,0.290821,1.556859,15.491820
86.7291032633,27.6880423596,9250,228,0,0.290838,1.556831,15.177807
86.7291032633,27.6880423596,9250,228,0,0.290855,1.556802,14.857000
